person;id;user_frame;pre_user_frame;system_frame;pre_system_frame;Polite;Human;Detailed;query;response;preresponse;sarcasm;rephrasing;task;condition
VP1.6T;46;2.2;2.1;3.1;2.2;;;;Alle herkoemmlichen Sorten, nicht zu viel Pilze;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Brokkoli-Wok mit Cashew und Tofu"". Wie klingt das fuer dich?";Welches Gemuese magst du?;0;0;1;text
VP1.6T;47;5;2.2;-1;3.1;;;;gibt es eins ohne tofu;NaN;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Brokkoli-Wok mit Cashew und Tofu"". Wie klingt das fuer dich?";0;0;1;text
VP1.6T;48;3.1;5;3.1;-1;0;;;sonst gut;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Chinakohl aus dem Wok"". Wie klingt das fuer dich?";NaN;0;0;1;text
VP1.6T;49;3.1;3.1;3.3;3.1;1;;;Zutaten bitte;Zutatenliste;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Chinakohl aus dem Wok"". Wie klingt das fuer dich?";0;0;1;text
VP1.6T;50;3.3;3.1;3.4;3.3;;;;gut Rezept schicken;Rezept;Zutatenliste;0;0;1;text
VP1.6T;51;4;3.3;-1;3.4;;;;bitte, danke TeleFood;NaN;Rezept;0;0;1;text
VP1.8T;52;4;4;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;1;text
VP1.8T;53;2.1;4;-1;1;0;2;2;Suche mir ein Rezept raus, das ich innerhalb von ca. 5 Minuten machen kann, und unter anderem Toast, Ei enthaelt;NaN;Hallo! Was kann ich fuer dich tun?;0;0;1;text
VP1.8T;54;2.1;2.1;3.1;-1;;;;es soll so wenig Aufwand sein wie moeglich;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Kaviar-eier-toast"". Wie klingt das fuer dich?";NaN;0;0;1;text
VP1.8T;55;2.1;2.1;2.2;3.1;;;;Ich hab leider kein Kaviar daheim;Das tut mir Leid. Welche Zutaten wuerdest du niemals benuetzen?;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Kaviar-eier-toast"". Wie klingt das fuer dich?";1;0;1;text
VP1.8T;56;5;2.1;-1;2.2;;;;ok, suchen wir ein anderes Rezept;NaN;Das tut mir Leid. Welche Zutaten wuerdest du niemals benuetzen?;0;0;1;text
VP1.8T;57;2.1;5;3.1;-1;;;;Suche mir ein Rezept, das relativ schnell und aufwandfrei zu bereiten ist und viel Gemuese enthaelt;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Gemuese-Rahm-Gnocchi"". Wie klingt das fuer dich?";NaN;0;0;1;text
VP1.8T;58;3.1;2.1;3.4;3.1;1;;;das ist ja wundervoll, schick mir doch bitte das Rezept;Rezept;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Gemuese-Rahm-Gnocchi"". Wie klingt das fuer dich?";1;0;1;text
VP1.8T;59;4;3.1;-1;3.4;;;;Ehre TeleFood, vielen Dank;NA;Rezept;0;0;1;text
VP1.1T;60;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;2;text
VP1.1T;61;2.1;1;2.2;1;0;0;1;Laktosefreie Geburtstagstorte;Gibt es Praeferenzen bei den Zutaten?;Hallo! Was kann ich fuer dich tun?;0;0;2;text
VP1.1T;62;2.2;2.1;3.1;2.2;;;;Nein;"Wie klingt ""Schoko-Sahne-Torte"" fuer dich?";Gibt es Praeferenzen bei den Zutaten?;0;0;2;text
VP1.1T;63;3.1;2.2;3.2;3.1;0;;;Gut;Moechtest du die Zutatenliste sehen?;"Wie klingt ""Schoko-Sahne-Torte"" fuer dich?";0;0;2;text
VP1.1T;64;3.2;3.1;3.3;3.2;;;;Ja;Rezeptliste / Magst du die Zutaten?;Moechtest du die Zutatenliste sehen?;0;0;2;text
VP1.1T;65;3.3;3.2;2.2;3.3;;;;Nein;Welche Zutaten wuerdest du niemals benuetzen?;Rezeptliste / Magst du die Zutaten?;0;0;2;text
VP1.1T;66;2.2;3.3;2.2;2.2;;;;Milchprodukte;Was sind deine Lieblingszutaten?;Welche Zutaten wuerdest du niemals benuetzen?;0;0;2;text
VP1.1T;67;2.2;2.2;3.1;2.2;;;;Schokolade;"Du hast erwaehnt, dass du Schokolade magst, wie klingt ""Himbeer-Schoko-Torte"" fuer dich?";Was sind deine Lieblingszutaten?;0;0;2;text
VP1.1T;68;3.1;2.2;3.2;3.1;0;;;Gut;Moechtest du die Zutaten sehen?;"Du hast erwaehnt, dass du Schokolade magst, wie klingt ""Himbeer-Schoko-Torte"" fuer dich?";0;0;2;text
VP1.1T;69;3.2;3.1;3.3;3.2;;;;Ja;Rezeptliste/Magst du die Zutaten?;Moechtest du die Zutaten sehen?;0;0;2;text
VP1.1T;70;3.3;3.2;3.4;3.3;;;;Ja;Moechtest du das Rezept sehen?;Rezeptliste/Magst du die Zutaten?;0;0;2;text
VP1.1T;71;3.4;3.3;3.4;3.4;;;;Ja;Rezeptlink;Moechtest du das Rezept sehen?;0;0;2;text
VP1.2T;72;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;2;text
VP1.2T;73;2.1;1;2.1;1;0;1;1;Ich brauche ein Laktosefteies kuchenrezept;Wieviel Zeit hast du zum Kochen?;Hallo! Was kann ich fuer dich tun?;0;0;2;text
VP1.2T;74;2.1;2.1;2.1;2.1;;;;Unbegrenzt;Wie ausgefallen darf das Rezept sein?;Wieviel Zeit hast du zum Kochen?;0;0;2;text
VP1.2T;75;2.1;2.1;2.2;2.1;;;;Nicht besonders;Was sind deine Lieblingszutaten in Kuchen?;Wie ausgefallen darf das Rezept sein?;0;0;2;text
VP1.2T;76;2.2;2.1;3.1;2.2;;;;Obst und Sahne;"Wie klingt ""Laktosefreie Low-Carb-Schoko-Nusstorte"" fuer dich?";Was sind deine Lieblingszutaten in Kuchen?;0;0;2;text
VP1.2T;77;3.1;2.2;3.2;3.1;0;;;Sehr gut;Moechtest du die Zutatenliste sehen?;"Wie klingt ""Laktosefreie Low-Carb-Schoko-Nusstorte"" fuer dich?";0;1;2;text
VP1.2T;78;3.2;3.1;0;3.2;;;;Ja bitte und die Zubereitung;Es tut mir leid, das habe ich nicht verstanden. Kannst du es neu formulieren?;Moechtest du die Zutatenliste sehen?;0;1;2;text
VP1.2T;79;5;3.2;3.3;0;;;;Wie bereite ich es zu;Zutatenliste/ Moechtest du mehr Informationen haben?;Es tut mir leid, das habe ich nicht verstanden. Kannst du es neu formulieren?;0;0;2;text
VP1.2T;80;3.4;5;3.4;3.3;;;;Ja;Link;Zutatenliste/ Moechtest du mehr Informationen haben?;0;0;2;text
VP1.3T;81;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;2;text
VP1.3T;82;2.1;1;2.1;1;0;0;1;laktosefreier Kuchen Rezept;Wie ausgefallen darf das Rezept sein?;Hallo! Was kann ich fuer dich tun?;0;0;2;text
VP1.3T;83;2.1;2.1;3.1;2.1;;;;sehr ausgefallen;"Wie klingt ""Gesunder Haferflocken-Schoko-Kuchen"" fuer dich?";Wie ausgefallen darf das Rezept sein?;0;0;2;text
VP1.3T;84;3.1;2.1;3.2;3.1;0;;;klingt gut;Moechtest du die Zutatenliste sehen?;"Wie klingt ""Gesunder Haferflocken-Schoko-Kuchen"" fuer dich?";0;0;2;text
VP1.3T;85;3.2;3.1;3.4;3.2;;;;nein;Link;Moechtest du die Zutatenliste sehen?;0;0;2;text
VP1.4T;86;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;2;text
VP1.4T;87;2.1;1;0;1;1;2;0;Ich moechte einenGeburtstagskuchen backen;Ich glaube da war ein Rechtschreibfehler. Was meintest du?;Hallo! Was kann ich fuer dich tun?;0;1;2;text
VP1.4T;88;2.1;2.1;2.1;0;;;;Geburtstagskuchen;Wie ausgefallen darf das Rezept sein?;Ich glaube da war ein Rechtschreibfehler. Was meintest du?;0;1;2;text
VP1.4T;89;2.1;2.1;2.2;2.1;;;;Sehr, es soll keine Milchprodukte enthalten;Was sind deine Lieblingszutaten in Kuchen?;Wie ausgefallen darf das Rezept sein?;0;0;2;text
VP1.4T;90;2.2;2.1;3.1;2.2;;;;Schokolade;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Allergiker Schokoladenkuchen"". Wie klingt das Rezept fuer dich?";Was sind deine Lieblingszutaten in Kuchen?;0;0;2;text
VP1.4T;91;3.1;2.2;3.2;3.1;0;;;Sehr gut;Moechtest du die Zutatenliste sehen?;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Allergiker Schokoladenkuchen"". Wie klingt das Rezept fuer dich?";0;0;2;text
VP1.4T;92;3.2;3.1;3.3;3.2;;;;Ja;Zutatenliste/ Wie gefallen dir die Zutaten?;Moechtest du die Zutatenliste sehen?;0;0;2;text
VP1.4T;93;3.3;3.2;3.4;3.3;;;;Gut;Moechtest du das Rezept sehen?;Zutatenliste/ Wie gefallen dir die Zutaten?;0;0;2;text
VP1.4T;94;3.4;3.3;3.4;3.4;;;;Ja;Link;Moechtest du das Rezept sehen?;0;0;2;text
VP1.7T;95;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;2;text
VP1.7T;96;2.1;1;2.1;1;1;2;2;Ich moechte einen Kuchen backen der fuer Leute geeignet ist die eine Laktoseintoleranz haben;Wie ausgefallen darf das Rezept sein?;Hallo! Was kann ich fuer dich tun?;0;0;2;text
VP1.7T;97;2.1;2.1;2.2;2.1;;;;Bitte ohne Milchprodukte;Was sind deine Lieblingszutaten in Kuchen?;Wie ausgefallen darf das Rezept sein?;0;0;2;text
VP1.7T;98;2.2;2.1;3.1;2.2;;;;Schokolade;"Du hast erwaehnt, dass du Schokolade magst, wie klingt ""Schoko-Nuss-Kuchen"" fuer dich?";Was sind deine Lieblingszutaten in Kuchen?;0;0;2;text
VP1.7T;99;3.1;2.2;0;3.1;0;;;Klingz gut (:;Ich glaube da war ein Rechtschreibfehler. Was meintest du?;"Du hast erwaehnt, dass du Schokolade magst, wie klingt ""Schoko-Nuss-Kuchen"" fuer dich?";0;1;2;text
VP1.7T;100;3.1;3.1;3.2;0;0;;;Klingt gut;Moechtest du die Zutatenliste sehen?;Ich glaube da war ein Rechtschreibfehler. Was meintest du?;0;1;2;text
VP1.7T;101;3.2;3.1;3.3;3.2;;;;Ja gerne;Zutatenliste/ Wie gefallen dir die Zutaten?;Moechtest du die Zutatenliste sehen?;0;0;2;text
VP1.7T;102;3.3;3.2;3.4;3.3;;;;Klingt gut (:;Moechtest du das Rezept sehen?;Zutatenliste/ Wie gefallen dir die Zutaten?;0;0;2;text
VP1.7T;103;3.4;3.3;3.4;3.4;;;;Ja;Rezept;Moechtest du das Rezept sehen?;0;0;2;text
VP1.9T;104;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;2;text
VP1.9T;105;2.1;1;2.1;1;0;0;1;Geburtagskuchen laktosefrei;Wie ausgefallen darf das Rezept sein?;Hallo! Was kann ich fuer dich tun?;0;0;2;text
VP1.9T;106;2.1;2.1;2.2;2.1;;;;Sehr ausgefallen;Was sind deine Lieblingszutaten in Kuchen?;Wie ausgefallen darf das Rezept sein?;0;0;2;text
VP1.9T;107;2.2;2.1;3.1;2.2;;;;Obst Zuckerguss;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Laktosefreier Apfel-Kirsch-Mohn-Kuchen"". Wie klingt das fuer dich?";Was sind deine Lieblingszutaten in Kuchen?;0;0;2;text
VP1.9T;108;3.1;2.2;3.2;3.1;0;;;Gut ja;Moechtest du die Zutatenliste sehen?;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Laktosefreier Apfel-Kirsch-Mohn-Kuchen"". Wie klingt das fuer dich?";0;0;2;text
VP1.9T;109;3.2;3.1;3.3;3.2;;;;Ja;Rezeptliste/ Wie findest du die Zutaten?;Moechtest du die Zutatenliste sehen?;0;0;2;text
VP1.9T;110;3.3;3.2;3.4;3.3;;;;Gut;Moechtest du das Rezept sehen?;Rezeptliste/ Wie findest du die Zutaten?;0;0;2;text
VP1.9T;111;3.4;3.3;3.4;3.4;;;;Ja;Rezept;Moechtest du das Rezept sehen?;0;0;2;text
VP2.3T;112;1;-1;1;-1;;;;hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;2;text
VP2.3T;113;2.1;1;2.1;1;0;2;2;ich brauche ein Rezept fuer einen Geburtstagskuchen. es soll keine Milchprodukte enthalten. vegan waere auch gut;Wie ausgefallen darf das Rezept sein?;Hallo! Was kann ich fuer dich tun?;0;0;2;text
VP2.3T;114;2.1;2.1;2.2;2.1;;;;es darf ausgefallen sein. Hauptsache keine milchprodukte. allerdings auch nicht zu schwer;Was sind deine Lieblingszutaten fuer Kuchen?;Wie ausgefallen darf das Rezept sein?;0;0;2;text
VP2.3T;115;2.2;2.1;3.1;2.2;;;;Erdbeeren und schokolade;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Veganer Schoko-Nuss-Kokos-Kuchen"". Wie klingt das fuer dich?";Was sind deine Lieblingszutaten fuer Kuchen?;0;0;2;text
VP2.3T;116;3.1;2.2;3.1;3.1;0;;;gibt es auch einen veganen Erdbeerkuchen?;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Veganer Erdbeerkuchen mit Vanillepudding und Biskuitboden"". Wie klingt das fuer dich?";"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Veganer Schoko-Nuss-Kokos-Kuchen"". Wie klingt das fuer dich?";0;0;2;text
VP2.3T;117;3.1;3.1;-1;3.1;0;;;das klingt besser;NaN;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Veganer Erdbeerkuchen mit Vanillepudding und Biskuitboden"". Wie klingt das fuer dich?";0;0;2;text
VP2.3T;118;5;3.1;-1;-1;;;;wie lange dauert es?;NaN;NaN;0;0;2;text
VP2.3T;119;5;5;5;-1;;;;und was brauche ich?;Arbeitszeit: ca. 30 Min. / Koch-/Backzeit: ca. 30 Min.;NaN;0;0;2;text
VP2.3T;120;-1;5;3.3;5;;;;NaN;Zutatenliste;Arbeitszeit: ca. 30 Min. / Koch-/Backzeit: ca. 30 Min.;0;0;2;text
VP2.3T;121;5;-1;0;3.3;;;;wo kann ich Sojamehl kaufen?;Es tut mir leid, das habe ich nicht verstanden. Kannst du es neu formulieren?;Zutatenliste;0;0;2;text
VP2.3T;122;5;5;5;0;;;;und wie sind die Arbeitsschritte dafuer?;Arbeitsschritte;Es tut mir leid, das habe ich nicht verstanden. Kannst du es neu formulieren?;0;0;2;text
VP2.3T;123;4;5;3.4;5;;;;alles klar;Moechtest du das Rezept sehen?;Arbeitsschritte;0;0;2;text
VP2.3T;124;3.4;4;3.4;3.4;;;;ja;Rezept;Moechtest du das Rezept sehen?;0;0;2;text
VP1.1T;125;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;3;text
VP1.1T;126;2.1;1;2.1;1;0;0;1;Schnelles veganes gericht;Wieviel Zeit hast du zum Kochen?;Hallo! Was kann ich fuer dich tun?;0;0;3;text
VP1.1T;127;2.1;2.1;2.1;2.1;;;;Halbe Stunde;Wie ernaehrst du dich unter der Woche? Wie am Wochenende?;Wieviel Zeit hast du zum Kochen?;0;0;3;text
VP1.1T;128;2.1;2.1;2.1;2.1;;;;Gleich;Welche Laenderkuechen sind deine Favoriten?;Wie ernaehrst du dich unter der Woche? Wie am Wochenende?;0;0;3;text
VP1.1T;129;2.1;2.1;2.1;2.1;;;;Japanisch und Koreanisch;Wie ausgefallen darf das Rezept sein?;Welche Laenderkuechen sind deine Favoriten?;0;0;3;text
VP1.1T;130;2.1;2.1;2.1;2.1;;;;Egal;Erwartest du Besuch oder kochst du fuer dich allein?;Wie ausgefallen darf das Rezept sein?;0;0;3;text
VP1.1T;131;2.1;2.1;2.1;2.1;;;;Alleine;Wie wuerdest du deine Kochfertigkeiten einschaetzen?;Erwartest du Besuch oder kochst du fuer dich allein?;0;0;3;text
VP1.1T;132;2.1;2.1;2.2;2.1;;;;Gut;Was sind deine Lieblingszutaten?;Wie wuerdest du deine Kochfertigkeiten einschaetzen?;0;0;3;text
VP1.1T;133;2.2;2.1;3.1;2.2;;;;WeiÌÙkohl;"Mithilfe der Informationen, die du mir genannt hast, habe ich folgendes Rezept gefunden. ""Alex veganer Krautsalat auf japanischer Art""";Was sind deine Lieblingszutaten?;0;0;3;text
VP1.1T;134;3.1;2.2;3.2;3.1;0;;;Ja;Moechtest du die Zutaten sehen?;"Mithilfe der Informationen, die du mir genannt hast, habe ich folgendes Rezept gefunden. ""Alex veganer Krautsalat auf japanischer Art""";0;0;3;text
VP1.1T;135;3.2;3.1;3.3;3.2;;;;Ja;Rezeptliste;Moechtest du die Zutaten sehen?;0;0;3;text
VP1.1T;136;4;3.2;3.4;3.3;;;;Gut;Moechtest du das Rezept sehen?;Rezeptliste;0;0;3;text
VP1.1T;137;3.4;4;3.4;3.4;;;;Ja;Rezeptlink;Moechtest du das Rezept sehen?;0;0;3;text
VP1.4T;138;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;3;text
VP1.4T;139;2.1;1;2.1;1;0;0;1;Ich suche ein schnelles Rezept;Auf was hast du Lust?;Hallo! Was kann ich fuer dich tun?;0;0;3;text
VP1.4T;140;2.1;2.1;2.1;2.1;;;;Nudeln;Wie wuerdest du deine Kochfertigkeiten einschaetzen?;Auf was hast du Lust?;0;0;3;text
VP1.4T;141;2.1;2.1;2.1;2.1;;;;Recht gut;Erwartest du Besuch oder kochst du fuer dich allein?;Wie wuerdest du deine Kochfertigkeiten einschaetzen?;0;0;3;text
VP1.4T;142;2.1;2.1;2.1;2.1;;;;Ich esse allein;gibt es spezielle Zubereitungsarten, die du magst oder welche die du nicht Anwenden moechtest?;Erwartest du Besuch oder kochst du fuer dich allein?;0;0;3;text
VP1.4T;143;2.1;2.1;2.1;2.1;;;;Nein;Wie ernaehrst du dich unter der Woche? Wie am Wochenende?;gibt es spezielle Zubereitungsarten, die du magst oder welche die du nicht Anwenden moechtest?;0;0;3;text
VP1.4T;144;2.1;2.1;2.2;2.1;;;;Fleischlos, auch am Wochenende;Welches Gemuese magst du?;Wie ernaehrst du dich unter der Woche? Wie am Wochenende?;0;0;3;text
VP1.4T;145;2.2;2.1;2.2;2.2;;;;Tomaten;Gibt es spezielle Zutaten, die du magst? Wie beispielsweise Szechuan Pfeffer oder Tamarinde?;Welches Gemuese magst du?;0;0;3;text
